"reviewer","time","brewery","name","style","abv","aroma","appearance","palate","taste","overall","total","average"
"NEhophead",2004-07-06 18:46:28,"Victory Brewing Company","Moonglow Weizenbock","Weizenbock",8.7,4.5,4,4,5,4.5,22,4.4
"sideshowrob",2004-07-07 18:03:20,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4,4,3.5,4,19.5,3.9
"feloniousmonk",2004-07-09 05:51:10,"Troegs Brewing Company","Troegs Oatmeal Stout","Oatmeal Stout",7,4.5,4,4,4.5,4,21,4.2
"Dithyramb",2004-07-09 14:02:24,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4,4,4.5,4,4,20.5,4.1
"goindownsouth",2004-07-11 07:31:18,"Victory Brewing Company","V-Ten","Belgian Strong Dark Ale",10,4,4,4,4,3.5,19.5,3.9
"Billolick",2004-07-12 21:31:30,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,4,4,4,4.5,3.5,20,4
"abcsofbeer",2004-07-16 21:28:46,"Victory Brewing Company","Old Horizontal","American Barleywine",11,4,4,4,3.5,4,19.5,3.9
"Ieatlambfries",2004-07-19 12:38:07,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4.5,5,5,5,24,4.8
"GeoffFromSJ",2004-07-27 13:17:56,"Yards Brewing Company","Love Stout","English Stout",5,4,4,4.5,4.5,5,22,4.4
"cerevisiaephilus",2004-07-31 16:46:22,"Troegs Brewing Company","The Drafting Room 10th Anniversary Ale","English India Pale Ale (IPA)",7,4.5,4,4,4.5,3.5,20.5,4.1
"charlesw",2004-08-03 17:48:24,"Victory Brewing Company","Golden Monkey","Tripel",9.5,3,4.5,2.5,3.5,3.5,17,3.4
"sulldaddy",2004-08-04 23:16:01,"Victory Brewing Company","Milltown Mild","English Dark Mild Ale",3.3,3.5,4.5,3.5,4,5,20.5,4.1
"sacfly",2004-08-05 11:03:05,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,4.5,4.5,5,4.5,23,4.6
"Metalmoon",2004-08-06 19:43:07,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3,4,3,3.5,4,17.5,3.5
"NJpadreFan",2004-08-08 10:41:36,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3,3,3,3,3,15,3
"pezoids",2004-08-08 12:56:06,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,4,3.5,4,4,4,19.5,3.9
"BrewMaster",2004-08-11 23:20:26,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4,4,4,3.5,4,19.5,3.9
"farHillsBrewer",2004-08-14 16:29:17,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3,4,3,4,3,17,3.4
"SheepNutz",2004-08-14 18:04:44,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,3.5,4,4,3.5,3,18,3.6
"RBorsato",2004-08-16 11:42:35,"Yards Brewing Company","Yards Saison","Saison / Farmhouse Ale",6.5,4,3.5,3.5,4,4,19,3.8
"thecoldesquire",2004-08-30 14:36:05,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4.5,5,4.5,5,23,4.6
"99bottles",2004-09-13 10:35:58,"Troegs Brewing Company","Troegs Oatmeal Stout","Oatmeal Stout",7,4,4.5,4.5,4.5,4.5,22,4.4
"ppoitras",2004-09-23 20:06:05,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3.5,4,4,4,4,19.5,3.9
"NearerMyBeerToMe",2004-10-13 21:21:36,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,4.5,4,4,3.5,20,4
"merlin48",2004-10-21 06:48:24,"Yards Brewing Company","Philadelphia Pale Ale","American Pale Ale (APA)",4.3,3.5,4,3.5,3.5,3.5,18,3.6
"emericanchaos",2004-10-26 15:08:02,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,4.5,4,3.5,4.5,3.5,20,4
"WesWes",2004-10-28 22:17:53,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,4,4,4,4.5,4.5,21,4.2
"mrfosters",2004-11-07 18:54:26,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3,4,3,2.5,3,15.5,3.1
"ADR",2004-11-15 11:08:55,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4.5,3.5,3.5,3,3.5,18,3.6
"BuckeyeNation",2004-11-16 14:00:17,"Yards Brewing Company","India Pale Ale","English India Pale Ale (IPA)",7,4,4,3,4,3.5,18.5,3.7
"canucklehead",2004-11-23 16:28:54,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3.5,3.5,3.5,3.5,4,18,3.6
"tomthumbsblues",2004-11-27 22:59:16,"Yuengling Brewery","Yuengling Black & Tan","Black & Tan",4.7,3.5,4,3,3,3.5,17,3.4
"GCBrewingCo",2004-11-29 19:09:01,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4.5,4.5,4,4,4.5,21.5,4.3
"WesWes",2004-12-06 16:02:58,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4.5,4,4.5,5,4.5,22.5,4.5
"newyawker",2004-12-08 15:14:24,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4.5,4,4,4.5,3.5,20.5,4.1
"ggroller",2005-01-01 08:33:29,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,4,3.5,3.5,3.5,4,18.5,3.7
"kmpitz2",2005-01-02 21:17:16,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4,5,5,5,4.5,23.5,4.7
"FormatKid",2005-01-03 22:49:31,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4,4,4,4.5,20.5,4.1
"shapudding",2005-01-09 16:02:55,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,3,3.5,4,4,4,18.5,3.7
"iheartsheafstout",2005-01-13 00:21:44,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,4.5,4,4.5,4.5,22,4.4
"mmmbeer",2005-01-13 00:48:08,"Troegs Brewing Company","Troegs Oatmeal Stout","Oatmeal Stout",7,3.5,4.5,4,4.5,4,20.5,4.1
"wnhay",2005-01-13 23:32:33,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4.5,4.5,4,4,4.5,21.5,4.3
"Erix",2005-01-22 21:02:04,"Victory Brewing Company","Old Horizontal","American Barleywine",11,4,4.5,4.5,4.5,4.5,22,4.4
"mntlover",2005-01-24 15:22:33,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4,4,4,4.5,4,20.5,4.1
"mentor",2005-01-27 23:10:14,"Troegs Brewing Company","Troegs Rugged Trail Nut Brown Ale","English Brown Ale",4.4,3.5,3.5,4,4,3.5,18.5,3.7
"pezoids",2005-01-28 09:08:35,"Victory Brewing Company","Altbier","Altbier",4.5,4.5,4,4,4.5,4.5,21.5,4.3
"francisweizen",2005-01-31 08:42:02,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,4,4.5,4.5,4.5,4,21.5,4.3
"ClassyLadyJen",2005-01-31 14:08:15,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4,4,4.5,4,20.5,4.1
"beveragecaptain",2005-02-01 22:18:37,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3.5,4,4,3.5,3.5,18.5,3.7
"bmills1608",2005-02-06 17:20:58,"Victory Brewing Company","USPA (American Pale Ale)","American Pale Ale (APA)",5.7,3.5,3.5,3.5,3.5,4,18,3.6
"kegerator",2005-02-11 08:42:44,"Victory Brewing Company","St. Victorious","Doppelbock",7.6,5,5,5,5,5,25,5
"BurghBrewPSU",2005-02-11 19:45:47,"Victory Brewing Company","Mad King's Weiss","Hefeweizen",6.2,3,4,3,3.5,3,16.5,3.3
"WesWes",2005-02-22 12:50:12,"Yuengling Brewery","Yuengling Premium Beer","American Pale Lager",4.4,3.5,3.5,4,3,4,18,3.6
"blitheringidiot",2005-02-23 07:06:58,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,4.5,4,4,4,4.5,21,4.2
"Clayspapa",2005-03-01 23:01:14,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,3.5,4,3.5,4.5,4,19.5,3.9
"wnhay",2005-03-03 22:30:58,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,2,3,3,2.5,3.5,14,2.8
"mentor",2005-03-11 00:54:45,"Yards Brewing Company","Extra Special Ale (ESA)","Extra Special / Strong Bitter (ESB)",6.3,2.5,2,2.5,2,2,11,2.2
"RonfromJersey",2005-03-14 14:03:59,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4.5,4.5,4,4.5,5,22.5,4.5
"badbread",2005-03-15 22:51:56,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4.5,4,4.5,4.5,4.5,22,4.4
"whartontallboy",2005-03-26 19:34:08,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,3.5,4,4,4.5,20,4
"Vancer",2005-03-29 10:17:27,"Yuengling Brewery","Yuengling Premium Beer","American Pale Lager",4.4,2.5,3,3,2.5,2.5,13.5,2.7
"maek228",2005-03-30 00:33:26,"Yuengling Brewery","Yuengling Black & Tan","Black & Tan",4.7,3,3.5,3,3.5,4,17,3.4
"mgreenlaw",2005-04-01 22:01:00,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4,4.5,4.5,4.5,4,21.5,4.3
"maybrick",2005-04-06 13:26:57,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,5,5,5,5,5,25,5
"santoslhalper",2005-04-11 22:27:37,"Victory Brewing Company","St. Boisterous","Maibock / Helles Bock",7.4,3.5,3.5,4.5,3.5,4,19,3.8
"FirstMan",2005-04-16 22:18:19,"Victory Brewing Company","Old Horizontal","American Barleywine",11,4.5,4,4.5,4,4,21,4.2
"SEOhioSipper",2005-04-17 13:43:39,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3.5,4,4,4,4,19.5,3.9
"BrewMaven",2005-04-18 20:02:20,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,2,2.5,2,2,2,10.5,2.1
"Foxman",2005-04-19 14:15:29,"Victory Brewing Company","Altbier","Altbier",4.5,4,4.5,4,4,4.5,21,4.2
"ski271",2005-04-21 15:41:26,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,5,4.5,5,5,5,24.5,4.9
"Litterbean",2005-04-21 23:59:54,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,4.5,4.5,4,4.5,21.5,4.3
"tgbljb",2005-04-24 14:21:21,"Victory Brewing Company","D-Town Brown","English Brown Ale",5.4,4,4,4,4,4,20,4
"blitheringidiot",2005-04-28 01:12:41,"Troegs Brewing Company","Troegs Sunshine Pils","German Pilsener",5.3,4,4,3.5,3.5,3.5,18.5,3.7
"wnhay",2005-05-03 09:15:13,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,3.5,3.5,3.5,3.5,4,18,3.6
"JackStraw22",2005-05-03 20:16:33,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,4,4,4,4.5,20.5,4.1
"TongoRad",2005-05-09 20:18:57,"Yards Brewing Company","Extra Special Ale (ESA)","Extra Special / Strong Bitter (ESB)",6.3,3,3,3.5,3,3.5,16,3.2
"northyorksammy",2005-05-13 20:16:11,"Victory Brewing Company","Sunset Dunkleweizen","Dunkelweizen",5.7,3.5,3.5,4.5,4,4,19.5,3.9
"tgbljb",2005-05-13 23:11:15,"Yuengling Brewery","Yuengling Porter (Dark Brewed)","American Porter",4.7,3.5,4,3.5,4,4,19,3.8
"jimdkc",2005-05-15 00:54:49,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4.5,4,4,4,3.5,20,4
"faernt",2005-05-15 22:32:35,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,4.5,4,4.5,5,4,22,4.4
"brewdlyhooked13",2005-05-18 12:44:07,"Troegs Brewing Company","Troegs Pale Ale","American Pale Ale (APA)",5.4,3.5,3.5,3.5,4,4,18.5,3.7
"merlin48",2005-05-20 16:12:57,"Yuengling Brewery","Yuengling Light Lager","Light Lager",3.4,1.5,2.5,1.5,2,2,9.5,1.9
"JackTheRipper",2005-05-22 02:23:48,"Troegs Brewing Company","Beer Union Local 1807 Brown Ale","American Brown Ale",4.4,3.5,3.5,3.5,3.5,3.5,17.5,3.5
"maggotbrain",2005-06-01 22:14:50,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,3.5,4.5,4,4,4,20,4
"kegerator",2005-06-16 08:10:45,"Victory Brewing Company","Victory Lager","Munich Helles Lager",4.8,3.5,4,3.5,3,4,18,3.6
"ElGordo",2005-06-19 21:10:06,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,3.5,4,4,4.5,20,4
"Boilermaker88",2005-06-26 01:33:32,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4.5,4,4,4.5,4.5,21.5,4.3
"chilidog",2005-06-26 09:55:47,"Yuengling Brewery","Yuengling Black & Tan","Black & Tan",4.7,3.5,3.5,4,4,4,19,3.8
"TheJudge",2005-06-28 12:51:54,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,4,4.5,4,4.5,4,21,4.2
"NolanGTI",2005-06-28 14:43:09,"Troegs Brewing Company","The Drafting Room 11th Anniversary Ale","American IPA",6.7,4.5,4.5,3.5,4,4,20.5,4.1
"thechaacster",2005-07-02 04:45:54,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,4,4.5,4,4,20.5,4.1
"blackie",2005-07-02 23:27:09,"Victory Brewing Company","Golden Monkey","Tripel",9.5,4,4,4,3.5,4,19.5,3.9
"MjrMjr",2005-07-10 00:58:26,"Victory Brewing Company","Sunrise Weiss","Hefeweizen",5.7,4.5,4.5,4,5,4.5,22.5,4.5
"Chadbrew",2005-07-10 07:09:58,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,3,2.5,2.5,3,3,14,2.8
"finepaws",2005-07-10 22:58:51,"Victory Brewing Company","Sunrise Weiss","Hefeweizen",5.7,4.5,4.5,4.5,4.5,5,23,4.6
"finepaws",2005-07-15 19:04:07,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,3,3,3,3,3,15,3
"HappyHourHero",2005-07-18 22:06:27,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4,4,4,4.5,4.5,21,4.2
"Dithyramb",2005-07-25 09:41:45,"Victory Brewing Company","Sunrise Weiss","Hefeweizen",5.7,4,4.5,3,3,4.5,19,3.8
"battlekow",2005-07-27 01:20:34,"Troegs Brewing Company","Troegs Rugged Trail Nut Brown Ale","English Brown Ale",4.4,3.5,4,3.5,4,4,19,3.8
"hustlemuscle",2005-07-31 17:00:56,"Victory Brewing Company","Victory Lager","Munich Helles Lager",4.8,4,4,4.5,4,4.5,21,4.2
"mcontr2",2005-08-03 00:42:38,"Yards Brewing Company","Philadelphia Pale Ale","American Pale Ale (APA)",4.3,4,3.5,3,4.5,3.5,18.5,3.7
"kmpitz2",2005-08-03 20:44:12,"Victory Brewing Company","Golden Monkey","Tripel",9.5,4,3.5,4,3.5,4,19,3.8
"themotleyfool",2005-08-03 22:08:46,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3,2.5,2.5,3,3,14,2.8
"jhu1995",2005-08-05 23:30:12,"Yuengling Brewery","Yuengling Porter (Dark Brewed)","American Porter",4.7,2.5,3.5,4.5,4,4,18.5,3.7
"budsboy",2005-08-06 16:46:35,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4.5,4.5,4,4,4.5,21.5,4.3
"Sixpoint",2005-08-07 21:23:22,"Yards Brewing Company","Philadelphia Pale Ale","American Pale Ale (APA)",4.3,4.5,3.5,2,2.5,3,15.5,3.1
"hustlemuscle",2005-08-09 21:51:47,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4.5,4.5,4,4,4,21,4.2
"tomthumbsblues",2005-08-10 15:34:33,"Yards Brewing Company","Thomas Jefferson's Tavern Ale","English Strong Ale",8,3.5,3.5,4,4,4,19,3.8
"DogFood11",2005-08-21 21:15:45,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4,4,4,4,20.5,4.1
"BrinkyBeerBoy",2005-08-22 02:48:51,"Yuengling Brewery","Yuengling Porter (Dark Brewed)","American Porter",4.7,3,4,2.5,3,3,15.5,3.1
"sopor",2005-08-22 16:59:00,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,3.5,4,3,3,3,16.5,3.3
"baugherlager",2005-09-02 01:43:22,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,3.5,4,4.5,4.5,20.5,4.1
"tgbljb",2005-09-09 20:57:54,"Yards Brewing Company","Extra Special Ale (ESA)","Extra Special / Strong Bitter (ESB)",6.3,4,4,3.5,3.5,3.5,18.5,3.7
"mjohn27603",2005-09-11 20:52:07,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,3.5,4,4.5,4,20,4
"lackenhauser",2005-09-15 21:27:18,"Victory Brewing Company","Festbier","Marzen / Oktoberfest",5.6,3.5,3.5,4,3.5,4,18.5,3.7
"FLAbeergutinMASS",2005-09-16 23:06:42,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4,3.5,4,3.5,19,3.8
"Frozensoul327",2005-09-18 20:51:54,"Victory Brewing Company","Golden Monkey","Tripel",9.5,4.5,4,4,4.5,4,21,4.2
"brentk56",2005-09-21 16:40:10,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,4.5,4.5,4.5,4.5,22,4.4
"jakester",2005-09-28 14:02:28,"Yards Brewing Company","General Washington's Tavern Porter","English Porter",7,2,4,2.5,1.5,2,12,2.4
"RedwoodGeorge",2005-09-30 23:18:05,"Troegs Brewing Company","Troegs Pale Ale","American Pale Ale (APA)",5.4,3.5,3.5,3.5,4,4,18.5,3.7
"tryemall",2005-10-04 15:59:07,"Troegs Brewing Company","Troegs Oatmeal Stout","Oatmeal Stout",7,4.5,4,4.5,4,5,22,4.4
"EPseja",2005-10-08 23:44:12,"Victory Brewing Company","Festbier","Marzen / Oktoberfest",5.6,3.5,4,4,4,4,19.5,3.9
"SwillBilly",2005-10-09 15:55:36,"Victory Brewing Company","Moonglow Weizenbock","Weizenbock",8.7,4,4,4,4.5,4.5,21,4.2
"hotsidehot",2005-10-10 00:53:27,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,3,3,3.5,3.5,3.5,16.5,3.3
"walleye",2005-10-12 19:16:46,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4,3.5,3,3.5,18,3.6
"nsmit17",2005-10-17 14:48:17,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,4.5,5,4.5,5,23.5,4.7
"radshoesbro",2005-10-18 15:26:53,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4,4.5,4,4,20.5,4.1
"unknownlamer",2005-10-20 00:04:01,"Yuengling Brewery","Yuengling Black & Tan","Black & Tan",4.7,2.5,3.5,3,3,4,16,3.2
"yelterdow",2005-10-20 12:27:59,"Victory Brewing Company","Festbier","Marzen / Oktoberfest",5.6,3.5,3,3,3.5,3.5,16.5,3.3
"orsulacp",2005-10-21 22:17:54,"Victory Brewing Company","Moonglow Weizenbock","Weizenbock",8.7,3.5,4.5,4.5,4,3.5,20,4
"tastybeer",2005-10-24 00:01:18,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4.5,4.5,4.5,4.5,22.5,4.5
"stewdawg",2005-10-28 01:27:23,"Troegs Brewing Company","Troegs Bavarian Lager","Marzen / Oktoberfest",5.6,4,4,4,4.5,4,20.5,4.1
"jmz62565",2005-10-30 17:54:17,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4,4.5,4.5,4.5,4.5,22,4.4
"ElGordo",2005-11-09 00:28:46,"Victory Brewing Company","Golden Monkey","Tripel",9.5,4,3.5,3.5,4,4,19,3.8
"kegerator",2005-11-11 11:18:39,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,3,4,2,3,3,15,3
"bditty187",2005-11-21 20:38:05,"Victory Brewing Company","Festbier","Marzen / Oktoberfest",5.6,3,2.5,4,3.5,3.5,16.5,3.3
"Zorro",2005-12-03 20:40:43,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,5,4,5,5,23.5,4.7
"JerzDevl2000",2005-12-07 21:36:41,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,3.5,3.5,3.5,4,4,18.5,3.7
"bahumutx",2005-12-08 21:39:31,"Victory Brewing Company","Golden Monkey","Tripel",9.5,4,4,4,4,4.5,20.5,4.1
"Enola",2005-12-10 12:21:28,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,2.5,2.5,2.5,3,3,13.5,2.7
"Matthew",2005-12-10 21:55:14,"Victory Brewing Company","Old Horizontal","American Barleywine",11,4,4,4,4,3.5,19.5,3.9
"MainSpark",2005-12-10 23:10:33,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4,4,4,4.5,4.5,21,4.2
"SacoDeToro",2005-12-18 19:19:11,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3,3,3.5,2.5,3.5,15.5,3.1
"dirtylou",2005-12-24 14:05:50,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,4,4,4,4.5,20.5,4.1
"NiceGuyMike",2005-12-25 21:50:04,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,5,5,4.5,4.5,4.5,23.5,4.7
"mobyfann",2005-12-28 03:12:18,"Troegs Brewing Company","Troegs Pale Ale","American Pale Ale (APA)",5.4,3.5,4,4,4,4.5,20,4
"IceAce",2005-12-31 04:24:16,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,4,4,3.5,4.5,4,20,4
"IceAce",2005-12-31 05:17:30,"Troegs Brewing Company","Troegs Oatmeal Stout","Oatmeal Stout",7,3.5,4,3.5,4,3.5,18.5,3.7
"orsulacp",2006-01-08 14:09:58,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,3.5,4,3,4,4,18.5,3.7
"goodbyeohio",2006-01-11 00:22:28,"Troegs Brewing Company","Troegs Bavarian Lager","Marzen / Oktoberfest",5.6,4,4.5,3.5,3.5,4,19.5,3.9
"PBRstreetgang",2006-01-13 17:48:51,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4,4,4.5,4,21,4.2
"DarkerTheBetter",2006-01-16 13:28:33,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4.5,4.5,4.5,4.5,4.5,22.5,4.5
"UncleFlip",2006-01-19 01:55:12,"Troegs Brewing Company","Troegs Rugged Trail Nut Brown Ale","English Brown Ale",4.4,3.5,4,4,4.5,4.5,20.5,4.1
"Dithyramb",2006-01-21 10:14:13,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4,4,4,4.5,4.5,21,4.2
"joedon",2006-01-31 18:10:13,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,3,2.5,3.5,3,2,14,2.8
"DarkerTheBetter",2006-02-02 12:26:12,"Yards Brewing Company","Love Stout","English Stout",5,4,3.5,4,4.5,4,20,4
"oldirtycaffrey",2006-02-04 19:49:58,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,2.5,3,3,3,3.5,15,3
"scottoale",2006-02-04 22:47:50,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,5,5,5,5,4.5,24.5,4.9
"Luigi",2006-02-05 00:49:45,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4.5,4.5,4.5,4.5,22.5,4.5
"lpayette",2006-02-07 01:52:55,"Victory Brewing Company","Moonglow Weizenbock","Weizenbock",8.7,4,4,4,4,4,20,4
"yelterdow",2006-02-07 20:39:47,"Yards Brewing Company","General Washington's Tavern Porter","English Porter",7,3.5,4,3.5,3.5,3.5,18,3.6
"macpapi",2006-02-09 14:56:41,"Victory Brewing Company","Old Horizontal","American Barleywine",11,4,4,4,4,4,20,4
"elsinore",2006-02-11 22:05:45,"Troegs Brewing Company","Troegs Rugged Trail Nut Brown Ale","English Brown Ale",4.4,4,4,4,4,4.5,20.5,4.1
"BEERchitect",2006-02-12 14:27:42,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4,4,4.5,4,21,4.2
"ALESwhatCURESya",2006-02-16 19:32:42,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,2.5,4,3.5,3.5,3,16.5,3.3
"crwills",2006-02-19 12:40:34,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4.5,4,4.5,5,4,22,4.4
"dawg",2006-02-20 22:05:07,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4,4,3.5,4,3,18.5,3.7
"GenCornwallis",2006-02-20 23:30:19,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4.5,4.5,4,5,4.5,22.5,4.5
"WVbeergeek",2006-02-22 13:20:36,"Victory Brewing Company","Braumeister Pils - Saaz","Czech Pilsener",5.7,4.5,4.5,4.5,4.5,5,23,4.6
"DarkerTheBetter",2006-02-24 18:45:29,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4,4,3.5,4.5,4.5,20.5,4.1
"supernaut",2006-02-26 15:56:01,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,3.5,4,4,4,4,19.5,3.9
"DaggerEyes",2006-02-26 21:38:24,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4.5,4,4,4.5,21,4.2
"NClifestyle",2006-02-27 22:16:09,"Victory Brewing Company","Ten Years Alt","Altbier",8.5,3.5,4.5,4,4,4,20,4
"lpayette",2006-02-28 01:53:11,"Victory Brewing Company","Old Horizontal","American Barleywine",11,4.5,4,4.5,4.5,4.5,22,4.4
"granger10",2006-02-28 08:35:55,"Victory Brewing Company","Ten Years Alt","Altbier",8.5,4,4.5,4,4.5,4.5,21.5,4.3
"LucaBrasi",2006-03-04 02:34:12,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,3,3.5,2.5,3,2.5,14.5,2.9
"Foxman",2006-03-08 10:35:14,"Troegs Brewing Company","Troegs Rugged Trail Nut Brown Ale","English Brown Ale",4.4,4,4,3.5,3.5,4,19,3.8
"Foxman",2006-03-08 12:56:35,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,4.5,4,4,4.5,4,21,4.2
"jmz62565",2006-03-09 01:27:04,"Yards Brewing Company","Yards Saison","Saison / Farmhouse Ale",6.5,3,3.5,4,4,4,18.5,3.7
"mattcrill",2006-03-12 15:23:18,"Victory Brewing Company","Old Horizontal","American Barleywine",11,3.5,4,4.5,4.5,4.5,21,4.2
"bignick",2006-03-15 15:06:20,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4,4,4,4,4,20,4
